,name,blockname,count
0,拉萨路,峨嵋岭,11
1,拉萨路,广州路215-2号,3
2,拉萨路,百步坡,6
3,蓓蕾村西,东升村,1
4,蓓蕾村西,天湖园,1
5,蓓蕾村西,水西门大街,1
6,蓓蕾村西,水西门大街87号,1
7,蓓蕾村西,茶亭村,3
8,蓓蕾村西,迎宾村,1
9,祥和雅苑,化工新村,3
10,祥和雅苑,化建二村,1
11,祥和雅苑,华汇康城,2
12,祥和雅苑,吉祥山庄,3
13,祥和雅苑,吉祥花园,1
14,祥和雅苑,后半山园4号,2
15,祥和雅苑,四方新村七村,1
16,祥和雅苑,城市绿洲花园,1
17,祥和雅苑,城市绿洲花园北苑,2
18,祥和雅苑,晓庄师范小区,5
19,祥和雅苑,电建海赋尚城,18
20,祥和雅苑,联珠村小区,2
21,祥和雅苑,胜利一村,7
22,祥和雅苑,胜利村,3
23,祥和雅苑,金陵新一村,1
24,祥和雅苑,银河湾花园,2
25,祥和雅苑,黄家圩,1
26,钓鱼台,宏安大厦,1
27,钓鱼台,实辉巷,1
28,钓鱼台,来凤新村,1
29,钓鱼台,来凤里,1
30,钓鱼台,牵牛巷,1
31,钓鱼台,磨盘街,14
32,钓鱼台,菱角市,1
33,裕顺雅苑,华景阁,2
34,裕顺雅苑,宝地园,1
35,裕顺雅苑,新城市假日,1
36,裕顺雅苑,朗晴名居,6
37,裕顺雅苑,清江花苑嘉和园,1
38,裕顺雅苑,港龙园,2
39,裕顺雅苑,百市西苑,4
40,裕顺雅苑,金陵名人居,8
41,裕顺雅苑,金陵御沁园,2
42,裕顺雅苑,阳光聚宝山庄,1
43,裕顺雅苑,龙园北路80号,9
44,大华锦绣华城香邑美颂,大华锦绣华城榴美颂,16
45,大华锦绣华城香邑美颂,大华锦绣华城香榭美颂,21
46,大华锦绣华城香邑美颂,大华锦绣华城香鸢美颂,9
47,大华锦绣华城香邑美颂,天润城第十六街区南区,1
48,大华锦绣华城香邑美颂,江月府,6
49,峨嵋岭19号,五台山庄,3
50,峨嵋岭19号,峨嵋岭,12
51,峨嵋岭19号,峨嵋岭10号,1
52,峨嵋岭19号,拉萨路,1
53,峨嵋岭19号,百步坡,3
54,沙塘园,东大影壁,1
55,沙塘园,亚东国际公寓,1
56,沙塘园,南湖春晓嘉怡苑,1
57,沙塘园,双井巷,5
58,沙塘园,大纱帽巷38号,3
59,沙塘园,大纱帽巷40号,1
60,沙塘园,太平北路122号,1
61,沙塘园,将军巷,2
62,沙塘园,成贤公寓,1
63,沙塘园,成贤街,1
64,沙塘园,沙塘园5号,15
65,沙塘园,沙塘园9号,1
66,沙塘园,珠江路371号,4
67,沙塘园,百仕园,1
68,沙塘园,老虎桥,1
69,沙塘园,蓁巷,3
70,沙塘园,进香河,1
71,顺达佳苑,东沟巷28号,1
72,顺达佳苑,中心花园,1
73,顺达佳苑,嘉顺时代广场,4
74,顺达佳苑,广都苑,1
75,顺达佳苑,文靖新村,2
76,顺达佳苑,新光花园,1
77,顺达佳苑,汇景新苑,1
78,顺达佳苑,芙蓉园,2
79,顺达佳苑,芙阁新村,1
80,顺达佳苑,金发公寓,2
81,苏苑大厦,凯润金城,5
82,苏苑大厦,北门桥小区,1
83,苏苑大厦,网巾市小区,1
84,苏苑大厦,长江花园,1
85,锁金四村,南林一村,3
86,锁金四村,南林二村,4
87,锁金四村,板仓街78号,9
88,锁金四村,锁金三村,8
89,锁金四村,锁金二村,14
90,锁金四村,锁金五村,2
91,锁金四村,锁金五村16号,1
92,锁金四村,锁金村6至10号,1
93,锁金四村,锁金村82号,1
94,紫金城苜蓿园东街7号,二十八所（北）,1
95,紫金城苜蓿园东街7号,紫金城东区,4
96,紫金城苜蓿园东街7号,紫金城苜中路4号,1
97,紫金城苜蓿园东街7号,紫金城苜卫路39号,1
98,紫金城苜蓿园东街7号,紫金城西区,1
99,紫金城苜蓿园东街7号,苜卫路25号,1
100,紫金城苜蓿园东街7号,苜卫路35号,1
101,紫金城苜蓿园东街7号,苜蓿园山庄,5
102,融创臻园,中海万锦熙岸一期,11
103,融创臻园,中海万锦熙岸二期,9
104,融创臻园,北江锦城,4
105,碧水湾花园,东郊小镇第四街区,3
106,碧水湾花园,中国人家,2
107,碧水湾花园,南方花园枫彩园,1
108,碧水湾花园,天地新城天权座,13
109,碧水湾花园,天地新城天枢座,12
110,碧水湾花园,天地新城天柱座,5
111,碧水湾花园,天地新城天琴座,1
112,碧水湾花园,天水雅居,2
113,碧水湾花园,山水华门岭秀苑,1
114,碧水湾花园,山水华门浅水湾苑,1
115,碧水湾花园,山水方舟,2
116,碧水湾花园,左邻右里,1
117,碧水湾花园,瀛洲湾,17
118,碧水湾花园,盈嘉青春渡,1
119,碧水湾花园,盈家春天,1
120,碧水湾花园,秦淮绿洲北苑,7
121,碧水湾花园,运盛美之国6组团,2
122,碧水湾花园,金王府,1
123,碧水湾花园,金盛公寓,4
124,碧水湾花园,锦绣花园竹涛园,2
125,宁工新寓二村,天平新村,4
126,宁工新寓二村,宁工新寓一村,13
127,宁工新寓二村,宝苑新寓,4
128,宁工新寓二村,滨江公寓,2
129,宁工新寓二村,苏武公寓,2
130,宁工新寓二村,郑和国际广场,9
131,宁工新寓二村,银城宝船听涛,6
132,宁工新寓二村,高教新村,4
133,千章巷,升州路,3
134,千章巷,城市之星,2
135,千章巷,天安恒隆花园,4
136,千章巷,安品街,2
137,千章巷,砂珠巷小区,2
138,千章巷,绒庄新村,1
139,千章巷,评事街,2
140,光华东街18号小区,光华东街,1
141,光华东街18号小区,光华东街16号小区,7
142,光华东街18号小区,御道街113号,1
143,光华东街18号小区,御道街58号,1
144,光华东街18号小区,蓝旗新村,11
145,天润城第十二街区,天润城第九街区,3
146,天润城第十二街区,天润城第十四街区,13
147,天润城第十二街区,天润城第十街区,8
148,天润城第十二街区,明发城市广场,1
149,天润城第十二街区,桥北新村,1
150,天润城第十二街区,江岸水城,6
151,汇金旗林大厦,汇金新天地,11
152,常府街,九莲塘,1
153,常府街,二条巷,9
154,常府街,仁义里小区,1
155,常府街,四条巷,4
156,常府街,四条巷32号,3
157,常府街,复成里,5
158,常府街,小杨村小区,1
159,常府街,常府街10至16号,1
160,常府街,常府风华苑,2
161,常府街,文昌宫,2
162,常府街,新巷,1
163,常府街,普华巷,2
164,常府街,棉鞋营,2
165,常府街,海宇公寓,1
166,常府街,珠江路653号,1
167,常府街,申家巷,1
168,常府街,绣花巷8号,3
169,常府街,达美广场,3
170,常府街,长白街,3
171,天润城第十三街区,天润城第十一街区,1
172,天润城第十三街区,天润城第十二街区,8
173,天润城第十三街区,天润城第十四街区,2
174,天润城第十三街区,天润城第十街区,7
175,天润城第十三街区,威尼斯水城第八街区,2
176,天润城第十三街区,江岸水城,1
177,证大大拇指广场,北祖师庵,2
178,证大大拇指广场,南堡新寓,1
179,证大大拇指广场,多伦路,1
180,证大大拇指广场,张家圩小区,1
181,证大大拇指广场,明城华贵园,1
182,证大大拇指广场,深业滨江半岛,8
183,证大大拇指广场,盐西街小区,1
184,证大大拇指广场,锦绣江山花园,1
185,证大大拇指广场,驴子巷,7
186,证大大拇指广场,龙湖春江紫宸,5
187,育仁雅居,九龙雅苑,3
188,育仁雅居,明都雅苑,2
189,育仁雅居,晨光新苑,12
190,育仁雅居,碧水云天,1
191,育仁雅居,风光里小区,16
192,万欣翠园,21世纪假日花园,1
193,万欣翠园,上海明珠花园,2
194,万欣翠园,天琪福苑,5
195,万欣翠园,新区花苑,1
196,万欣翠园,明月花园,4
197,万欣翠园,杭怡花园,3
198,万欣翠园,汇景新苑,3
199,万欣翠园,爱秦湾,2
200,万欣翠园,竹山雅居,1
201,万欣翠园,靖雅居,1
202,新庄村53号,天然居,1
203,新庄村53号,御湖国际,9
204,新庄村53号,新庄花园,3
205,新庄村53号,曹后村10号,2
206,新庄村53号,曹后村9号小区,1
207,新庄村53号,曹后村邮局宿舍,8
208,新庄村53号,赞成湖畔居,5
209,金盛公寓,东秦新苑,1
210,金盛公寓,天地新城天权座,2
211,金盛公寓,武夷商城,1
212,金盛公寓,盈家春天,9
213,金盛公寓,碧水湾花园,8
214,金盛公寓,经纬城市花园小区,6
215,金盛公寓,金盛花园,9
216,亚东国际公寓,窑岗村,1
217,亚东国际公寓,绿岛华庭,9
218,亚东国际公寓,钱家村,2
219,亚东国际公寓,锦虹美苑,9
220,亚东国际公寓,长虹路443号,2
221,亚东国际公寓,长虹路445号,6
